time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-10 00:00:00,-0.1,81,11.4,2025-12-10,0,very_cold,-1.7200000000000002
2025-12-10 01:00:00,-0.3,79,12.4,2025-12-10,1,very_cold,-1.8800000000000001
2025-12-10 02:00:00,-0.0,78,10.2,2025-12-10,2,very_cold,-1.56
2025-12-10 03:00:00,-0.3,82,7.9,2025-12-10,3,very_cold,-1.94
2025-12-10 04:00:00,-0.5,81,8.0,2025-12-10,4,very_cold,-2.12
2025-12-10 05:00:00,-0.4,83,9.4,2025-12-10,5,very_cold,-2.06
2025-12-10 06:00:00,-0.3,84,7.9,2025-12-10,6,very_cold,-1.98
2025-12-10 07:00:00,-0.2,84,11.5,2025-12-10,7,very_cold,-1.88
2025-12-10 08:00:00,0.0,85,11.9,2025-12-10,8,very_cold,-1.7
2025-12-10 09:00:00,1.5,84,13.7,2025-12-10,9,cold,-0.17999999999999994
2025-12-10 10:00:00,2.4,84,17.7,2025-12-10,10,cold,0.72
2025-12-10 11:00:00,3.7,78,16.9,2025-12-10,11,cold,2.14
2025-12-10 12:00:00,5.2,72,16.6,2025-12-10,12,cold,3.7600000000000002
2025-12-10 13:00:00,5.8,65,11.6,2025-12-10,13,cold,4.5
2025-12-10 14:00:00,6.4,65,14.4,2025-12-10,14,cold,5.1000000000000005
2025-12-10 15:00:00,6.5,63,12.0,2025-12-10,15,cold,5.24
2025-12-10 16:00:00,6.7,61,11.4,2025-12-10,16,cold,5.48
2025-12-10 17:00:00,6.5,65,11.7,2025-12-10,17,cold,5.2
2025-12-10 18:00:00,6.1,64,8.4,2025-12-10,18,cold,4.819999999999999
2025-12-10 19:00:00,6.2,60,5.4,2025-12-10,19,cold,5.0
2025-12-10 20:00:00,5.3,68,7.2,2025-12-10,20,cold,3.9399999999999995
2025-12-10 21:00:00,5.0,73,7.3,2025-12-10,21,cold,3.54
2025-12-10 22:00:00,4.3,68,7.4,2025-12-10,22,cold,2.9399999999999995
2025-12-10 23:00:00,3.9,70,6.8,2025-12-10,23,cold,2.5
